collision_id,crash_datetime,borough,zip_code,latitude,longitude,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_two-wheel_veh,number_of_normal_veh,number_of_large_veh,number_of_unknown_veh,total_number_of_vehicles,contributing_factors
3664763,2017-04-29 10:03:00,BROOKLYN,11212,40.662174,-73.919815,,,212       EAST 98 STREET,0,0,0,0,0,0,0,0,0,1,1,0,2,['Unspecified']
3653898,2017-04-19 06:40:00,,,40.748737,-73.758385,LONG ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Following Too Closely' 'Unspecified']
3656294,2017-04-23 18:20:00,QUEENS,11372,40.75505,-73.8834,,,33-34     84 STREET,0,0,0,0,0,0,0,0,0,1,0,1,2,['Backing Unsafely' 'Unspecified']
3668580,2017-05-10 21:25:00,QUEENS,11432,40.71191,-73.78744,,,175-35    HILLSIDE AVENUE,1,0,1,0,0,0,0,0,0,0,0,0,0,['Unspecified']
3665232,2017-05-07 16:30:00,QUEENS,11374,40.733437,-73.86418,,,61-35     JUNCTION BOULEVARD,0,0,0,0,0,0,0,0,0,2,0,0,2,['Backing Unsafely' 'Unspecified']
3658243,2017-04-26 20:40:00,MANHATTAN,10010,40.741028,-73.99417,WEST 20 STREET,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction' 'Unspecified']
3659717,2017-04-29 22:45:00,QUEENS,11366,40.721516,-73.804405,,,164-05    UNION TURNPIKE,0,0,0,0,0,0,0,0,0,1,0,0,1,['Driver Inattention/Distraction']
3656257,2017-04-23 00:04:00,MANHATTAN,10030,40.816265,-73.940056,,,108       WEST 138 STREET,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3658077,2017-04-25 09:00:00,BRONX,10468,40.867474,-73.89741,EAST KINGSBRIDGE ROAD,JEROME AVENUE,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Unspecified']
3653915,2017-04-19 15:30:00,QUEENS,11435,40.688564,-73.79781,LIVERPOOL STREET,110 ROAD,,0,0,0,0,0,0,0,0,0,0,1,0,1,['Unspecified']
3658793,2017-04-27 14:00:00,,,40.734974,-73.97987,1 AVENUE,,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Driver Inattention/Distraction' 'Unspecified']
3665097,2017-05-05 18:00:00,,,40.74357,-73.83772,VAN WYCK EXPWY,,,1,0,0,0,0,0,1,0,0,0,1,0,1,['Unsafe Speed']
