tree_id,created_at,block_id,tree_dbh,stump_diam,is_OnCurb,health,spc_common,steward,guards,sidewalk_damaged,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,latitude,longitude,is_dead,is_stump
170266,2015-08-24,230788,5,0,1,0.0,American linden,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,19 DURYEA PLACE,11226,Brooklyn,314,3,Brooklyn,40,42,21,BK95,Erasmus,3079200,40.64537755080124,-73.95741759744091,0,0
180292,2015-08-27,106100,2,0,1,1.0,honeylocust,1.0,None,0.0,Volunteer,WiresRope,0,0,0,1,0,0,0,0,0,30 WEST 61 STREET,10023,New York,107,1,Manhattan,3,67,27,MN14,Lincoln Square,1014500,40.77029021722772,-73.9832981533227,0,0
175566,2015-08-25,500954,7,0,1,2.0,Callery pear,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,801 JACKSON AVENUE,10456,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007500,40.81976491649515,-73.90658661568328,0,0
198180,2015-09-02,210463,8,0,1,2.0,Callery pear,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,1746 EAST 7 STREET,11223,Brooklyn,315,3,Brooklyn,44,45,22,BK25,Homecrest,3042000,40.608088045154595,-73.9660784224089,0,0
196015,2015-09-01,107674,10,0,1,1.0,Callery pear,1.0,Helpful,0.0,Volunteer,"RootOther,BranchOther",0,0,1,0,0,0,0,0,1,36 EAST 75 STREET,10021,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1013000,40.77339057613968,-73.96333908101838,0,0
182843,2015-08-28,221481,7,0,1,2.0,Callery pear,0.0,None,1.0,Volunteer,RootOther,0,0,1,0,0,0,0,0,0,862 MYRTLE AVENUE,11206,Brooklyn,303,3,Brooklyn,36,56,18,BK75,Bedford,3025901,40.69547660198517,-73.9477165456528,0,0
209619,2015-09-08,407400,6,0,1,2.0,Callery pear,0.0,None,0.0,TreesCount Staff,BranchLights,0,0,0,0,0,0,1,0,0,84 KENSINGTON AVENUE,10305,Staten Island,502,5,Staten Island,50,64,23,SI14,Grasmere-Arrochar-Ft. Wadsworth,5006400,40.59634053772127,-74.07730025357984,0,0
209090,2015-09-08,503966,6,0,1,2.0,Callery pear,0.0,None,1.0,TreesCount Staff,"Stones,RootOther,BranchLights",1,0,1,0,0,0,1,0,0,1630 GRAND AVENUE,10452,Bronx,205,2,Bronx,14,77,29,BX36,University Heights-Morris Heights,2021700,40.846684335425614,-73.9154854304105,0,0
184097,2015-08-29,504205,8,0,1,2.0,Callery pear,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,2000 GRAND CONCOURSE,10457,Bronx,205,2,Bronx,15,86,33,BX41,Mount Hope,2023502,40.85123953203528,-73.9042424751777,0,0
193943,2015-09-01,508845,11,0,1,2.0,silver linden,0.0,None,1.0,Volunteer,"Stones,RootOther,BranchLights",1,0,1,0,0,0,1,0,0,1471 COMMONWEALTH AVENUE,10460,Bronx,209,2,Bronx,18,87,33,BX08,West Farms-Bronx River,2021800,40.83705855825059,-73.86916936263249,0,0
180010,2015-08-27,215945,9,0,1,2.0,silver linden,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,138 NASSAU AVENUE,11222,Brooklyn,301,3,Brooklyn,33,50,26,BK76,Greenpoint,3057100,40.724687379632286,-73.9478077545686,0,0
193189,2015-08-31,348404,16,0,1,2.0,silver linden,0.0,None,1.0,Volunteer,None,0,0,0,0,0,0,0,0,0,111-001 75 ROAD,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4076901,40.71684084535957,-73.83802679362677,0,0
203996,2015-09-05,108294,8,0,1,2.0,Callery pear,1.0,Harmful,0.0,TreesCount Staff,"TrunkLights,BranchOther",0,0,0,0,1,0,0,0,1,419 WEST 114 STREET,10025,New York,109,1,Manhattan,7,70,30,MN09,Morningside Heights,1020101,40.80528415809051,-73.96134249273145,0,0
